feature,importance
magnitude,0.015928978028055884
cdi,0.008087629458796342
mmi,0.016751836716920956
sig,0.019505418073496757
nst,0.010022342356334132
dmin,0.01813191276738582
gap,0.02119291512830125
depth,0.04225669888384194
latitude,0.03672885760109529
longitude,0.16997294379643776
Year,0.6307769960918914
Month,0.010643471097442405
