Model,MSE,MAE,r2
Lineargression,0.13333065907690073,0.27638112856598557,0.46661948820283583
svm,0.1545224533012242,0.25195756188282964,0.3818431124800513
xgboost,0.04085609316825867,0.09584615379571915,0.8365578651428223
Random Forest,0.03762864583333333,0.08171874999999999,0.8494690830168204
