magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month
6.9,0,5,732,798,0.0,31.2,188.6,55.682,160.003,2004,6
6.6,0,7,670,282,0.0,46.9,21.0,-37.695,-73.406,2004,5
6.7,0,5,691,386,0.0,27.6,65.8,-9.362,122.839,2004,4
6.5,0,4,650,424,0.0,29.9,228.4,-13.174,167.198,2004,4
6.6,0,4,670,728,0.0,18.3,187.1,36.512,71.029,2004,4
6.7,0,7,691,256,0.0,33.3,25.7,-3.665,135.339,2004,2
7.3,0,7,820,390,0.0,23.0,10.0,-4.003,135.023,2004,2
7.0,0,7,754,367,0.0,33.0,16.6,-3.615,135.538,2004,2
6.7,0,6,691,243,0.0,42.5,17.4,-3.12,127.4,2004,1
7.3,0,4,820,235,0.0,46.6,10.0,-22.015,169.766,2003,12
6.6,0,9,670,552,0.0,44.8,10.0,28.995,58.311,2003,12
6.5,0,6,650,405,0.0,48.4,33.0,8.416,-82.824,2003,12
6.5,7,9,1390,65,0.04685,71.0,8.382,35.7005,-121.101,2003,12
6.8,0,7,711,447,0.0,27.7,10.0,23.039,121.362,2003,12
6.6,0,6,670,384,0.0,25.1,35.0,-5.581,150.88,2003,11
6.5,0,6,650,487,0.0,45.9,35.0,12.025,125.416,2003,11
6.6,0,5,670,475,0.0,26.2,113.7,-19.262,168.892,2003,11
7.0,0,5,754,568,0.0,61.2,10.0,37.812,142.619,2003,10
6.7,0,6,691,556,0.0,55.4,32.0,42.648,144.57,2003,10
6.7,0,7,691,643,0.0,24.5,10.0,50.211,87.721,2003,10
6.5,0,5,650,586,0.0,71.3,25.0,42.45,144.38,2003,9
7.3,0,7,820,667,0.0,24.5,16.0,50.038,87.813,2003,9
7.4,0,7,842,514,0.0,78.8,33.0,41.774,143.593,2003,9
8.16,0,9,1024,0,0.0,0.0,27.0,41.815,143.91,2003,9
6.6,0,7,670,518,0.0,24.7,10.0,19.917,95.672,2003,9
7.2,0,7,798,428,0.0,17.5,28.0,-45.104,167.144,2003,8
7.6,0,6,889,315,0.0,25.2,10.0,-60.532,-43.411,2003,8
6.5,0,6,650,156,0.0,31.4,33.0,-3.828,152.174,2003,7
6.8,0,7,711,398,0.0,39.1,33.0,-30.608,-71.637,2003,6
6.9,0,5,732,733,0.0,26.7,174.8,55.492,159.999,2003,6
6.6,0,6,670,419,0.0,27.8,33.0,-5.095,152.502,2003,6
7.0,0,6,754,473,0.0,30.3,31.0,2.354,128.855,2003,5
7.0,0,7,754,690,0.0,19.1,68.0,38.849,141.568,2003,5
6.8,0,9,711,534,0.0,19.4,12.0,36.964,3.634,2003,5
6.5,0,7,650,247,0.0,28.7,33.0,-8.294,120.743,2003,3
6.8,0,7,711,431,0.0,38.4,40.2,-4.694,153.238,2003,3
7.6,0,7,889,551,0.0,0.0,24.0,18.77,-104.104,2003,1
6.5,0,6,650,316,0.0,0.0,24.0,13.626,-90.774,2003,1
7.3,0,6,820,457,0.0,0.0,33.0,-10.491,160.77,2003,1
6.7,0,5,691,323,0.0,0.0,71.9,-5.311,153.701,2003,1
6.7,0,6,691,453,0.0,0.0,34.0,-4.786,153.275,2002,12
7.9,8,9,1750,0,0.0,0.0,4.2,63.5141,-147.453,2002,11
7.4,0,7,842,418,0.0,0.0,30.0,2.824,96.085,2002,11
6.6,0,7,670,0,0.0,0.0,4.2,63.5144,-147.912,2002,10
6.7,0,7,691,250,0.0,0.0,10.0,-1.511,133.973,2002,10
7.6,0,7,889,375,0.0,0.0,10.0,-1.757,134.297,2002,10
6.5,0,6,650,646,0.0,0.0,21.0,13.036,93.068,2002,9
7.6,0,7,889,428,0.0,0.0,13.0,-3.302,142.945,2002,9
6.5,0,4,650,260,0.0,0.0,30.0,14.101,146.199,2002,8
6.5,0,7,650,533,0.0,0.0,10.0,7.929,-82.793,2002,7
6.5,0,8,650,555,0.0,0.0,10.0,35.626,49.047,2002,6
6.6,0,7,670,420,0.0,0.0,54.0,-30.805,-71.124,2002,6
6.7,0,5,691,272,0.0,0.0,33.0,-12.592,166.383,2002,6
7.1,0,7,776,257,0.0,0.0,85.7,13.088,144.619,2002,4
6.7,0,7,691,462,0.0,0.0,62.0,-27.535,-70.586,2002,4
6.8,0,6,711,292,0.0,0.0,24.9,16.985,-100.865,2002,4
7.1,0,6,776,550,0.0,0.0,32.8,24.279,122.179,2002,3
6.5,0,5,650,486,0.0,0.0,125.1,-21.663,-68.329,2002,3
7.5,0,7,865,321,0.0,0.0,31.0,6.033,124.249,2002,3
7.4,0,5,842,138,0.0,0.0,225.6,36.502,70.482,2002,3
6.6,0,6,670,444,0.0,0.0,39.0,-5.345,151.248,2002,2
6.5,0,7,650,482,0.0,0.0,5.0,38.573,31.271,2002,2
6.7,0,8,691,333,0.0,0.0,11.0,-3.212,142.427,2002,1
6.6,0,6,670,386,0.0,0.0,10.0,-17.664,168.004,2002,1
7.2,0,6,798,427,0.0,0.0,21.0,-17.6,167.856,2002,1
6.8,0,7,711,385,0.0,0.0,16.0,-9.613,159.53,2001,12
6.8,0,5,711,499,0.0,0.0,14.0,23.954,122.734,2001,12
6.5,0,5,650,605,0.0,0.0,123.8,39.402,141.089,2001,12
7.8,0,9,936,368,0.0,0.0,10.0,35.946,90.541,2001,11
7.0,0,7,754,254,0.0,0.0,33.0,-5.912,150.196,2001,10
7.5,0,6,865,234,0.0,0.0,33.0,-4.102,123.907,2001,10
7.0,0,6,754,482,0.0,0.0,37.0,12.686,144.98,2001,10
6.5,0,6,650,174,0.0,0.0,33.0,-0.578,133.13,2001,9
6.6,6,6,754,0,0.0,0.0,131.8,58.775,-154.701,2001,7
6.5,0,8,650,483,0.0,0.0,10.0,39.059,24.244,2001,7
7.6,0,7,889,398,0.0,0.0,33.0,-17.543,-72.077,2001,7
6.6,0,7,670,324,0.0,0.0,62.0,-16.086,-73.987,2001,7
6.7,0,6,691,422,0.0,0.0,24.0,-17.745,-71.649,2001,6
8.4,0,8,1086,518,0.0,0.0,33.0,-16.265,-73.641,2001,6
6.7,0,6,691,282,0.0,0.0,17.0,-7.41,155.865,2001,4
6.8,0,7,711,596,0.0,0.0,50.0,34.083,132.526,2001,3
6.5,0,6,650,206,0.0,0.0,33.0,-4.029,128.02,2001,3
6.8,7,7,1441,67,0.0,31.0,51.798,47.149,-122.727,2001,2
7.1,0,7,776,426,0.0,0.0,35.0,1.271,126.249,2001,2
7.4,0,6,842,221,0.0,0.0,36.0,-4.68,102.562,2001,2
6.6,0,8,670,273,0.0,0.0,10.0,13.671,-88.938,2001,2
7.7,0,9,912,472,0.0,0.0,16.0,23.419,70.232,2001,1
6.9,0,6,732,117,0.0,0.0,28.0,-4.022,101.776,2001,1
7.7,0,8,912,427,0.0,0.0,60.0,13.049,-88.66,2001,1
6.9,5,7,745,0,0.0,0.0,36.4,56.7744,-153.281,2001,1
7.1,0,7,776,372,0.0,0.0,103.0,-14.928,167.17,2001,1
6.8,0,5,711,64,0.0,0.0,33.0,6.631,126.899,2001,1
7.5,0,7,865,324,0.0,0.0,33.0,6.898,126.579,2001,1
7.5,6,7,871,0,0.851953588391922,19.886901057513143,45.138871601728,-4.946099491719044,152.3588996578295,2015,3
7.136703444101838,4,6,789,740,0.0,10.247691963762378,101.66595347340862,40.66187448398406,151.19088257829182,2013,4
6.991306914096582,9,6,1120,0,1.800009992804237,10.91306914096582,13.583607087648417,24.832236095018448,133.50264796776014,2014,10
6.6,6,5,683,0,1.137591313761821,25.02413005598717,109.87934972006414,10.833355345467004,-85.18076918866619,2014,5
6.616698010425927,5,4,710,0,2.1315889341437018,15.418390573425972,21.7504701563889,38.66849674260074,142.7023172323636,2014,4
7.011671974108113,3,6,771,0,0.9926041267990819,13.649840776756605,10.0,-19.678022940594367,167.0236175743809,2016,10
7.0,8,7,759,0,4.441558491068139,12.648690042010548,40.21571949587342,-6.979461415271047,147.88567820102315,2015,6
6.8,1,3,711,0,5.425822843413346,15.296374776918181,535.6104397735033,-23.06345263819603,-179.84090643915658,2021,3
7.335629783807698,7,6,845,0,2.3401322076566746,15.275574056923698,33.1732778292289,-31.58818238155256,-178.00664996642382,2019,6
7.081365688309151,0,4,771,0,9.336775898508485,31.347799090820278,6.186343116908492,-59.85236707808154,-25.312973857406362,2020,7
7.654426449876927,9,7,1150,0,0.3364037095093924,42.53117398523125,28.269311067727685,54.783343770000606,-159.34898556523723,2020,9
6.964769012054137,3,6,748,601,0.0,14.67648187896533,57.19225301353406,15.673671443991452,145.1018919029786,2013,3
6.800156113098595,5,5,762,161,1.5078818478000588,29.99479623004684,219.95472720140754,-23.63227702863488,-66.70260903276295,2021,5
6.535256885633417,2,5,658,0,0.6546143007558094,32.81422140835423,19.64743114366583,51.933808281679255,-172.4340518776368,2016,6
6.5,3,4,650,0,3.549769564862419,42.40040642131861,10.085656225525913,-19.777187827002834,-174.15669065518472,2017,2
6.516465585314294,5,6,658,0,0.5538844903956437,53.55429196514057,10.0,-38.98496758937154,173.0209145620294,2016,11
6.606817883875088,0,3,671,71,1.253355454887814,117.61360954875795,34.86364232249823,52.49025003277374,-167.89627323973485,2022,1
6.548482997135898,5,4,694,0,2.047105475655136,36.30278962766678,17.336570951925943,11.406215469699625,-70.44642073850949,2014,6
7.315461619734163,8,7,1122,0,3.5042190987158315,38.462180164451354,115.85038908537892,1.4766026415649343,-81.50972318968155,2019,9
6.746117533240295,5,7,822,0,0.5145980750164881,54.182321641081316,24.7717726731793,-29.01373211389461,-71.24521022201866,2018,9
7.902349791100891,8,7,986,414,0.7709483992584708,18.727282851994808,46.45954804679522,-9.682052498059758,160.56276788873475,2015,3
6.750487312651879,0,3,701,204,0.7704363910676761,25.334632833738343,630.0584775182255,39.06131185153673,155.9772558030122,2014,6
6.565629265871921,7,6,717,0,2.3776898700470945,34.24988624341544,15.100631541003612,7.342811447430343,124.82370916138613,2017,2
7.276759199193063,6,4,875,0,4.030307617715555,10.883795995965318,45.07527435400462,42.373675749979036,150.42069850570599,2016,6
6.580767234211608,5,4,709,0,2.2206972591552114,13.44219788163845,21.211508513174124,38.156375389218056,142.6252457173839,2014,4
6.9,7,6,734,0,1.2037023955703183,25.064892247108983,25.593125610626686,-14.091542662708944,166.4836216697953,2016,4
7.052349248360607,6,5,908,0,2.9973339667621737,29.15994547951007,46.7579481262283,40.95517883625404,145.73526408536753,2020,4
6.57531239371614,2,6,666,0,3.0837385875384014,14.97500850270881,48.946200479804446,-7.064494324983669,151.4668170513742,2014,8
6.7822174362961265,8,7,788,0,0.9065709339034617,28.25174018024296,16.20870899409764,4.5268141233261465,125.9269832703868,2019,9
6.5,4,5,657,0,3.286573183294746,12.87729410075558,113.85874715716362,-7.358201047595975,150.35799241847488,2016,8
6.94076522801864,3,2,742,140,4.640196510580428,26.1480869299534,654.737582857176,-25.97764973367894,178.3657470462148,2022,11
6.902937369436376,8,6,1188,0,0.24644189980708864,34.92091697671297,92.86894813283863,15.000398638966942,-92.15792082217567,2017,6
7.673321898572471,7,7,920,0,2.7340442645895884,13.800343042825855,10.0,38.83820463857577,164.51914070788388,2017,6
6.704677008833469,5,5,830,0,1.4043774027111062,60.041213189138766,10.0,7.691407021272022,-83.02197273318868,2020,7
6.641103701331823,6,6,862,0,1.2760294766902827,38.03044351941102,38.223106321790354,10.893893392298041,-86.66497491533968,2019,5
6.896694926709945,1,4,731,0,3.9438519727161703,21.900847801298355,11.236271026060768,-10.984626094499967,163.5216904346825,2015,5
6.665492875197332,6,6,901,0,0.6009444082161215,35.753503791439655,63.211824315944405,14.169218495922088,-91.36672627533522,2019,3
7.5977864791715,6,6,960,497,0.0,21.92381623483618,68.24348729113498,-6.435348947666075,76.44164154949362,2013,2
6.772282180621907,0,5,706,0,8.930078932874109,24.361410903109533,10.873650936007099,-55.070734802075634,-18.618933224331563,2014,7
6.7,5,5,715,0,1.1538564549733723,20.938130833365726,33.788504583705866,40.84857695440928,142.83409345833172,2015,1
7.3,2,4,823,52,2.4811102415730995,28.41773468341527,463.63868221290755,-13.407729863748104,165.50588260523142,2017,8
6.9,8,6,737,0,1.3434786815918962,21.129748376500704,30.97603780164195,-9.462795696738327,158.36532661730976,2017,3
6.981460655224121,8,7,1077,0,1.9032102929376822,39.59550826862302,47.29775413431151,2.304712156168529,-85.23087078165176,2015,4
6.9,7,6,734,0,1.1919539177528016,24.434026715670992,26.727679936994438,-13.612686066878567,165.61349717416115,2016,3
6.836965445606141,0,3,719,0,3.312235022503966,27.910366318157866,560.8485113218632,-18.578948563947584,-178.67452600651006,2017,10
7.475784006172257,0,6,859,0,3.5935804577106065,16.242159938277425,42.311761069727645,-7.894934285373087,156.72565788627546,2014,4
6.716546267982115,8,8,1152,0,0.25059183167061355,35.42511805103916,23.02947494107874,-0.9033606386438962,-82.41056935897728,2016,11
6.552969936555396,6,5,695,0,2.085244460720867,36.8860917522015,17.56854571991398,11.104329698616391,-71.51248613600623,2014,7
7.095026942268452,8,6,778,335,0.0,16.516576859105157,20.850808268053587,-10.926508082680536,166.01718773390385,2013,2
6.8601175557555445,6,6,1319,82,0.32807720512868166,217.5776644064465,10.049902647628043,27.897113169203557,-143.088709201951,2016,4
6.836713625356123,1,3,719,137,4.659643187321938,22.734272507122466,635.8164714833687,-25.98182460488604,178.36630422628204,2022,11
6.9,7,6,734,0,1.2831614823839756,25.20165487501545,24.735623933653137,-13.602684649257277,165.70092915028658,2016,5
7.409569473620742,8,7,1091,0,4.244436153890066,41.657892983619725,114.99761929052364,-1.5939432537570313,-79.19959966428338,2019,10
6.5,3,6,652,0,2.695897226337677,18.540993883703592,28.131180427851497,-8.598410601771832,158.19484918948947,2015,2
7.012931035246383,7,5,845,0,2.2393509881529,9.216748772836473,41.93546800516789,41.96517562673595,146.79648400723443,2016,4
6.785835880481372,0,3,708,0,3.0016612750313185,36.733740877019514,541.4164119518628,-17.9424650979362,-178.80462200735906,2018,10
6.9,6,5,736,0,3.745007267629492,16.325958905201883,13.36042670683452,-61.33152696402137,-52.78935977839011,2018,4
7.322024104756554,5,5,841,116,2.3429230732172397,21.440482095131095,31.053491715730196,-22.375615148012805,-173.3863561405517,2021,9
7.028885046756198,6,7,827,0,1.556037513910331,20.021953272933875,67.841130649343,-3.7159472680688,141.68538512512006,2020,7
6.580950104613971,0,3,666,0,8.412374485627964,18.61900209227943,8.523991630882277,-59.399682708477116,-24.70509585843043,2020,7
7.2394663949166915,6,5,870,0,3.036015815969207,14.183991847500753,41.97331974583459,22.29621808700235,147.17627643232254,2013,8
6.809617655109142,0,3,713,0,2.9804662614014488,36.691762773805905,547.253635483315,-18.05892839050426,-178.8763149575748,2017,10
7.270261632244802,4,3,819,0,4.273530845966639,30.81046528979208,523.9666864889698,-20.067592587165066,173.58038571501373,2020,9
6.639757202108752,5,6,719,0,1.8704611254767567,27.4218518102123,21.036419683687164,-15.953545787872182,-74.17664498563092,2013,9
6.6,6,5,734,0,1.7273873716786712,67.59468112309851,23.37574054630764,9.682801944598845,-84.76277333543898,2017,8
6.681144947046335,5,7,823,0,1.612864421821417,14.486869682278016,35.81144947046336,-29.148875872761533,-71.88749194829825,2014,9
6.9,7,6,736,0,1.5585759579998222,25.67569011703928,21.76342296616371,-11.90824567664309,162.9880254601842,2016,9
6.573521611924077,0,6,664,393,0.0,15.964518686177854,20.64783880759228,-9.830010060182435,161.08954156670265,2013,2
6.5,1,6,658,256,0.0,17.310843510508228,11.463501345163996,-11.802161693610003,156.77048069658463,2013,4
7.175131215703461,7,7,1109,0,1.0801397106392776,34.49212705779237,95.18678640786393,6.969793527018904,-85.39470057985923,2016,4
6.569578439934508,0,4,663,0,10.946890646603942,18.391568798690166,15.695784399345083,-59.05881565879053,-26.325501963811902,2018,7
6.74571000435946,6,6,788,111,1.0671221420003911,35.8572498910135,18.171599825621602,-0.8258098553778277,-79.97803833477286,2020,10
6.6,0,3,670,0,9.570243311123718,19.0,8.574594343863426,-60.12205241126913,-24.831581976994418,2020,8
7.598216834332943,0,7,888,0,2.8006640703240246,13.16048491003508,23.13845894239311,-11.166539087554362,161.96481539102328,2014,4
6.5,2,6,670,274,0.0,17.003511830628117,22.682994803981156,-23.56698040103977,160.82025517667645,2013,4
6.6478341650339186,5,5,701,0,1.1874019270196023,120.65253742652632,12.8691209231345,21.58659336755283,-103.9450618589518,2016,9
7.901498520096831,9,4,1870,0,2.577878283239814,29.958790697337168,14.091393996028595,55.675811012959784,-148.87569320016115,2017,1
6.5,6,7,753,179,0.41513032105418124,52.824257943818985,10.242064540978443,20.79049086697748,123.1803939945581,2021,8
6.58834130927858,3,4,689,0,4.148722935316908,19.5582934536071,15.582934536070976,39.38193694583962,-37.65306016419303,2016,8
7.5,3,6,871,0,2.2009046008062616,18.11736365681066,13.63827336113047,-19.928574356989067,167.44766192788822,2017,10
7.043387867497586,7,6,766,346,0.0,16.68870710834138,19.301636024927586,-10.911016360249276,166.00875335169127,2013,2
7.0,5,6,767,0,1.8964617656929306,16.230970820737454,10.278871352592182,-18.278376667094562,167.68658412534958,2016,9
6.729964217002723,8,7,811,0,0.36600803769699775,34.0974951901906,22.202146979836627,18.354496151462772,122.69613399755633,2021,5
6.68466611422383,6,5,689,0,5.867120192287597,25.613355431046777,26.73283578511213,-15.156287027430892,166.94131251283022,2016,5
7.128735141624381,9,6,847,0,1.2373684243857668,26.00572995685335,49.26797380905764,4.434906895222224,126.0894249337103,2021,8
7.019098374575562,3,4,759,0,9.218126329452534,38.47213003395504,10.328236960207434,-59.52545898617285,-24.32472314883646,2021,8
6.8,1,5,711,0,3.392295599497139,18.11222990123904,10.290675444209114,-10.861283141251844,162.67708208336128,2015,5
6.5,4,6,651,0,5.0361727120841255,41.018568975350256,12.23607326848731,-18.52706794186797,-177.41816283686393,2021,5
6.593563499422094,5,4,669,0,7.420352994297014,18.193095017337157,35.06436500577905,-13.143844711747217,166.51841786798406,2018,1
6.6,6,5,702,0,2.1149272825204384,38.0628349756207,44.685825121896485,8.734747443641293,-83.37156384603496,2014,10
6.932404698114309,8,7,819,0,0.863109251983769,38.66898825471423,18.324391510380057,4.286240762607313,126.12069359151731,2019,10
6.8322746485745816,1,7,719,663,0.0,13.035322176397827,42.93776417900501,26.31630825803913,140.16667154236822,2013,3
7.051086893375302,7,6,1023,0,1.8088449216243343,43.021737867506054,29.25663266385181,16.02714833215941,-97.24909787782926,2015,4
6.788026688491556,6,7,839,0,0.3062524453790306,39.383602946360014,45.34146786703556,-30.930360854140048,-71.44754770126667,2015,10
7.302633616324468,7,6,830,0,1.3765856024688812,11.500387101648972,45.92099151026595,-30.616947415694735,-178.09320526988287,2019,5
6.5,5,5,658,0,3.650898140012984,14.258814621061985,98.48348410542609,-5.8836250394482335,148.60068812281966,2017,10
6.9,0,3,732,0,9.295480108170027,18.74827474309954,9.389272279311212,-16.271496393936363,-27.301536552610198,2018,8
7.362947621772396,9,8,1592,0,0.42029828080172166,29.74104756455208,21.369561283726462,-38.02694371296432,54.02244486008456,2016,7
6.8,2,5,712,0,2.7131832311677804,18.448424142986248,11.16141853033438,-10.118327486414692,161.06570308266691,2015,7
7.496674477566493,8,5,1623,0,4.557582779530718,12.149648509507841,19.04988283650261,17.202491011098665,-83.45649194383356,2017,1
6.9,4,4,733,0,8.34910190503849,42.54631716700229,15.516023049481465,-58.71236817786189,-27.50655902360921,2019,8
6.805422609084656,6,6,1034,0,1.1232930476600547,37.72886954576719,38.13590631998166,13.184449711332729,-90.67784759166624,2017,5
7.053053142408283,4,3,770,0,2.6705321909731263,22.12212569633131,501.81142052564485,-12.500613543334307,163.97846721330055,2018,9
6.8536468127663985,4,5,824,0,2.215298707512192,20.82117729077867,115.7552768936479,-29.5997428546334,-60.90362318242329,2019,7
6.8,5,5,715,0,1.0218753342872018,24.70178093875426,24.086675189080523,-0.4311803381997039,124.04404279440853,2017,6
6.774417052305656,1,5,705,0,3.0843163931882156,16.209193661395936,10.511658953886876,-10.648218533704842,161.98394855694818,2015,5
6.6,0,6,670,0,3.734351221366024,11.558120151495741,35.75046323234099,-6.469248339362549,153.17404318074833,2014,5
7.0535513665180885,4,5,834,103,1.2904666231952941,14.530723371099826,28.682358619985493,1.9430152188602996,-158.45202502412945,2019,8
7.003205746389611,7,7,851,221,1.6779502510462347,34.78668968330577,58.49073556118067,9.647066602353302,132.84076178776925,2022,9
6.6,2,5,670,0,5.775111481492378,14.43830146212868,31.947115538967438,-9.937020203901715,160.87709966222468,2016,2
7.354533047274358,6,5,872,0,1.8668296947501735,15.726993563673059,38.81799570911537,10.502844654021956,149.68866401628676,2014,5
6.625046181860558,7,6,711,0,2.115067893919552,43.25046181860559,20.0,0.9470056550772066,-79.6848904272851,2014,9
7.194935423780272,7,8,1452,25,0.1341847047499823,103.8232474391021,14.180267326884117,17.311518363683785,-120.17007302534682,2019,5
7.389446429137505,0,5,843,624,0.0,16.16252499128243,173.09422503249274,-22.49938917019182,-175.12468407731865,2013,4
6.8,2,4,712,0,3.0340689403253633,16.94696861183782,11.773920023205534,-9.913854134675637,161.371692846942,2015,7
6.8,5,5,713,0,1.1065837206616618,22.624395150874214,43.53049393859277,-4.528082808973793,149.410501648083,2014,5
6.543439436551043,3,4,666,0,3.6345621413010756,14.434394365510428,16.52484507591657,38.105066361345074,143.34466320357555,2019,10
6.8599686369221295,5,5,757,0,3.6307050784710366,22.54945114613727,150.70172496928288,39.77766735567205,141.7134271959433,2020,3
6.758041344812226,3,5,732,0,4.276041554512319,14.484276465786046,11.935310086091695,2.9873780278455566,138.7193646723836,2015,8
6.53310759403369,5,4,694,0,2.673279866536718,11.979683463032103,17.758615883919184,42.86411848576599,149.3238122176327,2016,5
6.627166486985619,5,6,822,0,1.0775832434928097,14.950827044496679,45.45909748946346,-30.582310324364705,-70.97729899153474,2015,8
6.653962946351689,0,6,681,370,0.0,23.66872120062887,14.91314956010644,-9.984415005005399,161.63113132586938,2013,2
6.9,4,5,736,0,0.8090880260640155,37.497580139654254,24.863337317848053,53.82318089014703,-163.553509307724,2018,7
6.657200419920918,5,5,794,0,1.2098610707983417,16.860020996045915,20.699895019770423,-36.07410270937066,-73.39694481271039,2017,10
7.676855401430631,9,6,1808,62,1.5403512232103798,35.952177384828715,17.65656184513687,19.175679955458822,-84.42550086555265,2020,2
7.0,7,6,758,0,5.004902291418904,21.65116982596453,11.566849032807639,-10.647199399106988,165.23858524118643,2015,6
6.5,0,3,650,23,0.00880675601574099,208.25069148837198,37.0,52.502,-168.08,2022,1
7.006011097201811,0,4,755,0,7.467605266090931,28.7103884020634,6.939889027981886,-58.031687125041564,-26.581832139767297,2017,7
6.611824136718703,0,4,672,0,6.027445875693552,19.236482734374068,13.04307760742269,-56.1501789054464,-26.476682468772157,2016,5
6.7,6,7,721,0,1.0480780563404068,41.32036251212396,19.533976089065035,-17.603185813583092,-71.76097137385092,2014,3
6.5,6,4,691,0,2.6409088267267786,29.72034406066638,12.52281226102586,8.889187490900577,-76.3111558239713,2014,5
6.8953071847023955,4,6,735,0,0.42316390007863525,37.169802033934175,31.04606746975564,52.57394294925297,-168.83518316086378,2015,6
7.033075030467051,4,4,838,0,4.003267883813473,34.7234932972487,222.67945917415116,-29.210381979165625,-55.677989914876285,2018,5
7.1,4,6,787,0,1.3406483858212717,14.86935476784843,39.633179602025876,1.771430964992519,126.47459308648456,2016,11
6.785541506165832,2,3,708,0,4.714612972389709,21.289169876683353,492.0456295726486,-20.455696422778978,-178.3799312803444,2017,6
7.0,6,6,755,0,0.6570873216171806,14.236020995407452,23.724642172024637,-16.17134065885911,167.43741519636333,2016,3
7.9301385024024516,9,4,1876,0,2.4417667673323504,29.17119118393259,14.691401625331356,49.40531600700251,-143.32729806807552,2017,1
6.6,3,5,674,0,0.70882447200462,26.554423845702544,19.248726826415364,-21.60385994428986,168.77921307796606,2017,11
7.161817793769931,3,6,793,0,1.634397783365676,18.52728824920277,170.50902494088822,52.381297413036386,156.71573594436163,2016,1
7.738915085865906,6,4,937,0,2.2530700117976603,17.369497137803137,632.2006308306266,-19.18020094122129,178.15394451255435,2018,9
6.794111949710526,1,7,711,669,0.0,13.40740849032237,37.690393085197364,33.1043075049887,140.55135154691789,2013,2
6.5,4,5,660,0,0.961730907442341,37.28016155085602,25.0116032704394,50.6166074701148,-159.90820064308988,2018,8
6.6210617066381054,4,4,692,0,1.3961154707173626,99.31851199143166,10.0,34.52200057435669,-117.43354943669264,2016,9
7.9,8,7,983,0,3.0809922874162794,11.025229170557953,130.9495416588841,2.8040375895049365,158.84280576506592,2016,1
7.0930016834810825,0,4,782,0,6.725136463710799,21.5396296341617,142.37774413534854,-55.47713289501098,-29.448693157164698,2018,11
6.96337451776459,8,6,1186,0,0.3310064441035059,33.59167738300912,87.90116796518453,13.886150783922506,-91.15805205996924,2016,5
7.762675615284608,9,6,1828,0,1.9751832069281936,24.119731541461757,37.36263507435044,14.148030052103323,-78.02764667477757,2019,1
6.5,6,7,661,0,0.23432924048995946,56.6577129663519,9.328856483175949,-42.511977245349904,173.390475440518,2016,11
7.186917425036931,9,6,1702,0,0.8225994624663093,34.337591843149866,23.287381293768405,-14.22403752290339,-74.46258914803091,2018,2
6.923750905279078,5,5,758,0,3.473924694109186,21.441708913023657,139.6958725620934,37.52047944983068,147.8076386697141,2018,3
6.5704709411581055,0,3,664,0,8.163389561916603,18.409418823162124,9.36232470735151,-59.01317972273443,-24.839480650588445,2019,7
6.6,3,5,671,0,1.522354971565357,22.902956878147403,22.0,-13.312658133650284,161.53848355836232,2015,8
7.424334897462337,3,6,874,0,2.1466793399364192,18.453990615225976,11.36197184567793,-24.28144713000569,170.8977782631271,2017,11
6.886337866855797,4,6,732,513,0.0,20.26281173938551,37.037981388181166,42.51189468753415,158.46969288490544,2013,2
7.538019897219106,9,7,1014,0,1.4968813114002884,12.126732990730357,30.976240904213675,3.3127000612438877,155.52268527838777,2016,11
7.647180023092092,9,7,2589,0,1.0733598745964503,22.55281997690791,26.72006106341333,16.863035241105642,-82.61132417351513,2019,8
6.677906086188679,5,6,839,0,1.318284098658112,5.040672442012574,18.895304309433953,30.22411637133001,-111.95149294694924,2013,5
6.7160438287107445,0,3,694,0,3.4003678237062758,30.60438287107447,561.4088236787601,-18.919006201065095,-178.77713823424867,2018,10
8.223137916921663,9,8,1942,0,1.3234925312117674,18.487586112811083,48.09400126211308,-24.972752926063166,-72.59554082430516,2016,7
7.0,7,5,760,0,4.233784277164201,23.553945156537278,10.61151371086568,-15.129855111342938,167.16423659381152,2017,5
7.616318836080048,7,7,931,0,0.5658447514935324,15.75521745879928,12.44782541200721,-4.591985734889674,153.3093171948941,2018,5
6.500518486277398,4,6,678,697,0.0,26.939337105544354,29.90148760729425,12.052667913457093,-85.73641619431312,2013,5
6.9,4,5,735,0,0.7152649715024443,37.883683244845905,25.92640786747573,53.45127350912293,-165.06780568628565,2017,7
7.661145209297592,7,6,910,0,3.669879304664063,12.805726046487958,19.28629497787562,53.37885644433541,166.6885141308986,2017,6
7.271623633200028,8,6,982,0,1.001525691474078,16.723063494001302,40.82291463719916,15.628581088149136,-92.97269502482655,2014,10
7.139678382721389,0,5,784,0,6.550988054254779,21.587135308855554,111.17688950323614,-57.63052909724737,-26.603712069819476,2017,9
6.51015370620788,4,4,687,0,1.2073386084817266,21.218444744945526,20.0,12.148791838231597,-59.16495595681214,2014,6
6.6886617148950664,6,5,688,0,6.82410217602631,18.88661714895066,25.24721136154274,-13.98526973817657,166.65245909561338,2016,3
6.6,1,5,670,0,3.5484111839472776,12.972383228126295,52.35624965713285,-6.001757380075885,148.40399725522943,2014,11
7.5,4,7,867,0,2.3583661388434143,19.47318937304535,50.1021987347529,-6.006632895535581,153.2011544440467,2014,4
6.8,5,5,713,0,1.2261505206872763,21.246103507927653,41.80762938490957,-2.060630652479781,140.72657515169817,2014,7
